model,threshold,n_baseline,n_arbiter,baseline_mean,arbiter_mean,baseline_pct_above,arbiter_pct_above,pct_difference,cohens_d,effect_interpretation,t_statistic,p_value,significant_0.05,significant_0.01,significant_0.001
Gemini,35,300,300,35.31333333333333,49.35333333333333,63.0,89.0,26.0,0.8952514405286481,large,-10.946256606457233,1.5258658848934727e-25,True,True,True
Gemini,40,300,300,35.31333333333333,49.35333333333333,54.333333333333336,87.66666666666667,33.333333333333336,0.8952514405286481,large,-10.946256606457233,1.5258658848934727e-25,True,True,True
Gemini,45,300,300,35.31333333333333,49.35333333333333,44.333333333333336,84.33333333333334,40.00000000000001,0.8952514405286481,large,-10.946256606457233,1.5258658848934727e-25,True,True,True
Claude,35,300,300,3.8066666666666666,33.96333333333333,1.0,56.333333333333336,55.333333333333336,1.740953870285035,large,-21.28667650385649,2.8475561961943646e-75,True,True,True
Claude,40,300,300,3.8066666666666666,33.96333333333333,1.0,53.666666666666664,52.666666666666664,1.740953870285035,large,-21.28667650385649,2.8475561961943646e-75,True,True,True
Claude,45,300,300,3.8066666666666666,33.96333333333333,1.0,52.33333333333333,51.33333333333333,1.740953870285035,large,-21.28667650385649,2.8475561961943646e-75,True,True,True
GPT-5.1,35,300,300,26.39666666666667,54.04333333333334,37.333333333333336,94.0,56.666666666666664,1.7882878072582127,large,-21.865429462909336,2.504687047595041e-78,True,True,True
GPT-5.1,40,300,300,26.39666666666667,54.04333333333334,31.666666666666664,93.33333333333333,61.666666666666664,1.7882878072582127,large,-21.865429462909336,2.504687047595041e-78,True,True,True
GPT-5.1,45,300,300,26.39666666666667,54.04333333333334,26.0,92.33333333333333,66.33333333333333,1.7882878072582127,large,-21.865429462909336,2.504687047595041e-78,True,True,True
Llama-3.3-70B,35,300,300,7.076666666666667,11.456666666666667,3.3333333333333335,6.333333333333334,3.0000000000000004,0.39943359599528555,small,-4.883882271580047,1.3368777017022203e-06,True,True,True
Llama-3.3-70B,40,300,300,7.076666666666667,11.456666666666667,2.3333333333333335,4.666666666666667,2.3333333333333335,0.39943359599528555,small,-4.883882271580047,1.3368777017022203e-06,True,True,True
Llama-3.3-70B,45,300,300,7.076666666666667,11.456666666666667,1.6666666666666667,4.0,2.333333333333333,0.39943359599528555,small,-4.883882271580047,1.3368777017022203e-06,True,True,True
